visualize scatter select facid , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . facid
visualize scatter select facid , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . facid
visualize scatter select facid , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . facid
visualize scatter select facid , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . facid
visualize scatter select facid , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . facid
visualize pie select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize pie select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize pie select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize pie select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize pie select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize pie select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize pie select building , count ( * ) from faculty group by building
visualize pie select building , count ( * ) from faculty group by building
visualize pie select building , count ( * ) from faculty group by building
visualize pie select building , count ( * ) from faculty group by building
visualize pie select building , count ( * ) from faculty group by building
visualize pie select building , count ( * ) from faculty group by building
visualize pie select building , count ( * ) from faculty group by building
visualize bar select building , count ( * ) from faculty group by building
visualize bar select building , count ( * ) from faculty group by building
visualize bar select building , count ( * ) from faculty group by building
visualize bar select building , count ( * ) from faculty group by building
visualize bar select building , count ( * ) from faculty group by building
visualize bar select building , count ( * ) from faculty group by building
visualize bar select building , count ( * ) from faculty group by building
visualize pie select rank , count ( rank ) from faculty group by rank
visualize pie select rank , count ( rank ) from faculty group by rank
visualize pie select rank , count ( rank ) from faculty group by rank
visualize bar select rank , count ( rank ) from faculty group by rank
visualize bar select rank , count ( rank ) from faculty group by rank
visualize bar select rank , count ( rank ) from faculty group by rank
visualize bar select rank , count ( * ) from faculty group by sex , rank
visualize bar select rank , count ( * ) from faculty group by sex , rank
visualize bar select rank , count ( * ) from faculty group by sex , rank
visualize bar select sex , count ( * ) from faculty group by sex
visualize bar select sex , count ( * ) from faculty group by sex
visualize bar select sex , count ( * ) from faculty group by sex
visualize pie select rank , count ( rank ) from faculty group by rank
visualize pie select rank , count ( rank ) from faculty group by rank
visualize pie select rank , count ( rank ) from faculty group by rank
visualize bar select rank , count ( rank ) from faculty group by rank
visualize bar select rank , count ( rank ) from faculty group by rank
visualize bar select rank , count ( rank ) from faculty group by rank
visualize bar select rank , count ( rank ) from faculty group by rank
visualize pie select rank , count ( * ) from faculty group by rank
visualize pie select rank , count ( * ) from faculty group by rank
visualize pie select rank , count ( * ) from faculty group by rank
visualize pie select sex , count ( * ) from faculty group by sex
visualize pie select sex , count ( * ) from faculty group by sex
visualize pie select sex , count ( * ) from faculty group by sex
visualize pie select sex , count ( * ) from faculty where rank = {value} group by sex
visualize pie select sex , count ( * ) from faculty where rank = {value} group by sex
visualize pie select sex , count ( * ) from faculty where rank = {value} group by sex
visualize pie select sex , count ( * ) from faculty where rank = {value} group by sex
visualize pie select sex , count ( * ) from faculty where rank = {value} group by sex
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex
visualize pie select rank , count ( * ) from faculty group by rank
visualize pie select rank , count ( * ) from faculty group by rank
visualize pie select rank , count ( * ) from faculty group by rank
visualize pie select rank , count ( * ) from faculty group by rank
visualize pie select rank , count ( * ) from faculty group by rank
visualize bar select rank , count ( * ) from faculty group by rank
visualize bar select rank , count ( * ) from faculty group by rank
visualize bar select rank , count ( * ) from faculty group by rank
visualize bar select rank , count ( * ) from faculty group by rank
visualize bar select rank , count ( * ) from faculty group by rank
visualize scatter select count ( * ) , t1 . facid from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid
visualize scatter select count ( * ) , t1 . facid from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by rank desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) asc
