visualize scatter select sum ( grant_amount ) , organisation_id from grants group by organisation_id
visualize bar select gender_code , count ( * ) from guests group by gender_code order by count ( * ) desc
visualize bar select formats , count ( * ) from files group by formats order by count ( * ) desc
visualize bar select city_code , count ( * ) from student group by city_code order by count ( * ) asc
visualize bar select dept_name , budget from department where budget > ( select avg ( budget ) from department ) order by budget asc
visualize bar select t1 . name , t1 . price from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name
visualize bar select name , count ( name ) from appointment as t1 join patient as t2 on t1 . patient = t2 . ssn group by name
visualize bar select nationality , sum ( meter_100 ) from swimmer group by nationality order by sum ( meter_100 ) desc
visualize scatter select team_id , acc_percent from basketball_match group by all_home
visualize bar select crs_description , count ( crs_description ) from class as t1 join employee as t2 on t1 . prof_num = t2 . emp_num join course as t3 on t1 . crs_code = t3 . crs_code group by crs_description order by crs_description desc
visualize bar select t2 . name , count ( t2 . name ) from city as t1 join county_public_safety as t2 on t1 . county_id = t2 . county_id group by t2 . name order by t2 . name asc
visualize bar select directed_by , count ( * ) from film group by directed_by
visualize pie select county_name , count ( * ) from county as t1 join election as t2 on t1 . county_id = t2 . district group by t1 . county_id
visualize bar select hire_date , avg ( salary ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by avg ( salary ) desc bin hire_date by month
visualize bar select team_name , school_id from basketball_match
visualize bar select crs_description , count ( crs_description ) from class as t1 join employee as t2 on t1 . prof_num = t2 . emp_num join course as t3 on t1 . crs_code = t3 . crs_code join professor as t4 on t2 . emp_num = t4 . emp_num group by crs_description order by crs_description desc
visualize line select hire_date , employee_id from employees where first_name like {value} or first_name like {value} order by hire_date desc
visualize line select hire_date , department_id from employees where first_name like {value} or first_name like {value} order by hire_date asc
visualize bar select job_id , sum ( department_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} group by job_id
visualize bar select emp_fname , count ( emp_fname ) from class as t1 join employee as t2 on t1 . prof_num = t2 . emp_num group by emp_fname
visualize bar select date_became_customer , count ( date_became_customer ) from customers where customer_id between {value} and {value} order by count ( date_became_customer ) asc bin date_became_customer by weekday
visualize bar select type , count ( type ) from ship group by nationality , type
visualize bar select payment_date , count ( payment_date ) from payment where amount > {value} union select t1 . payment_date from payment as t1 join staff as t2 on t1 . staff_id = t2 . staff_id where t2 . first_name = {value} order by count ( payment_date ) desc bin payment_date by month
visualize bar select county , count ( county ) from appellations as t1 join wine as t2 on t1 . appelation = t2 . appelation group by county
visualize bar select name , count ( name ) from repair_assignment as t1 join machine as t2 on t1 . machine_id = t2 . machine_id join technician as t3 on t1 . technician_id = t3 . technician_id group by name order by count ( name ) asc
visualize bar select hire_date , count ( hire_date ) from employees where first_name like {value} or first_name like {value} order by count ( hire_date ) desc bin hire_date by month
visualize bar select t2 . personal_name , t1 . student_id from student_course_enrolment as t1 join students as t2 on t1 . student_id = t2 . student_id order by t1 . student_id desc
visualize pie select languages , avg ( rating ) from song group by languages
visualize bar select sex , sum ( weight ) from people group by sex order by sum ( weight ) desc
visualize pie select investor , count ( investor ) from entrepreneur group by investor
visualize bar select area , count ( area ) from appellations group by area
visualize bar select job , avg ( age ) from person group by job order by job desc
visualize bar select hire_date , avg ( salary ) from employees where employee_id not in ( select employee_id from job_history ) bin hire_date by month
visualize bar select t1 . name , t1 . tourist_attraction_id from tourist_attractions as t1 join visits as t2 on t1 . tourist_attraction_id = t2 . tourist_attraction_id order by t1 . tourist_attraction_id asc
visualize line select visit_date , count ( visit_date ) from visits order by visit_date desc bin visit_date by year
visualize bar select meter_200 , sum ( meter_100 ) from swimmer group by meter_200 order by meter_200 asc
visualize bar select t1 . name , count ( * ) from physician as t1 join patient as t2 on t1 . employeeid = t2 . pcp group by t1 . employeeid order by count ( * ) desc
visualize bar select name , count ( name ) from swimmer as t1 join record as t2 on t1 . id = t2 . swimmer_id where result = {value} group by name order by name asc
visualize bar select title , avg ( price ) from schedule as t1 join film as t2 on t1 . film_id = t2 . film_id join cinema as t3 on t1 . cinema_id = t3 . cinema_id group by title order by avg ( price ) desc
visualize bar select t2 . title , sum ( min ( t1 . stars ) ) from rating as t1 join movie as t2 on t1 . mid = t2 . mid group by t2 . title order by t2 . title desc
visualize bar select all_games , acc_percent from basketball_match order by all_games asc
visualize pie select city , max ( lat ) from station group by city
visualize bar select director , min ( t1 . stars ) from rating as t1 join movie as t2 on t1 . mid = t2 . mid group by director order by director desc
visualize bar select service_type_description , count ( service_type_description ) from ref_service_types as t1 join services as t2 on t1 . service_type_code = t2 . service_type_code where t2 . product_price > {value} group by service_type_description order by count ( service_type_description ) asc
visualize bar select product_category_code , avg ( product_price ) from products group by product_category_code order by avg ( product_price ) asc
visualize pie select name , price from products where price between {value} and {value}
visualize bar select headquarter , sum ( manufacturer ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by headquarter desc
visualize pie select all_home , count ( all_home ) from basketball_match group by all_home
visualize scatter select white , crime_rate from city as t1 join county_public_safety as t2 on t1 . county_id = t2 . county_id
visualize bar select meter_600 , id from swimmer order by id desc
visualize bar select apt_number , room_count from apartments order by apt_number asc
visualize bar select name , avg ( price ) from products group by name order by name asc
visualize line select hire_date , manager_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by hire_date asc
visualize scatter select shop_id , employee_id from hiring
visualize bar select first_name , count ( first_name ) from staff as t1 join engineer_visits as t2 on t1 . staff_id = t2 . contact_staff_id join maintenance_engineers as t3 on t2 . engineer_id = t3 . engineer_id group by first_name
visualize pie select name , count ( name ) from repair_assignment as t1 join machine as t2 on t1 . machine_id = t2 . machine_id join technician as t3 on t1 . technician_id = t3 . technician_id group by name order by t2 . quality_rank
visualize pie select t2 . name , count ( t2 . name ) from assignedto as t1 join projects as t2 on t1 . project = t2 . code join scientists as t3 on t1 . scientist = t3 . ssn where t3 . name like {value} group by t2 . name
visualize bar select all_neutral , school_id from basketball_match
visualize pie select main_industry , sum ( market_value ) from company group by main_industry
visualize line select hire_date , manager_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
visualize bar select first_name , location_id from employees as t1 join departments as t2 on t1 . department_id = t2 . department_id where t1 . employee_id = t2 . manager_id order by location_id desc
visualize pie select team , count ( * ) from technician group by team
visualize bar select team_name , acc_percent from basketball_match order by team_name asc
visualize scatter select order_id , count ( * ) from order_items group by order_id
visualize bar select headquarters , count ( * ) from company group by headquarters
visualize bar select store_name , count ( store_name ) from bookings as t1 join drama_workshop_groups as t2 on t1 . workshop_group_id = t2 . workshop_group_id where t1 . status_code = {value} group by store_name order by count ( store_name ) desc
visualize line select start_from , count ( start_from ) from hiring bin start_from by year
visualize bar select headquarter , sum ( price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by headquarter asc
visualize bar select citizenship , count ( * ) from singer group by citizenship order by citizenship desc
visualize bar select hire_date , avg ( manager_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) bin hire_date by month
visualize line select hire_date , department_id from employees where hire_date < {value} order by hire_date desc
visualize line select date_of_completion , count ( date_of_completion ) from student_course_enrolment group by date_of_completion order by date_of_completion asc
